Team,FGM/A*,FG%,FTM/A*,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,Score
Marine Park,240/510,.471,109/139,.784,48,637,223,131,28,34,85,3
Work the Balls,301/605,.498,116/165,.703,71,789,270,107,47,38,99,6
Team,FGM/A*,FG%,FTM/A*,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,Score
It's Fucking Lit,260/538,.483,91/119,.765,107,718,269,162,55,35,97,5
Gayouidiot,287/606,.474,165/203,.813,61,800,233,196,53,37,114,4
Team,FGM/A*,FG%,FTM/A*,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,Score
Zaddy,293/652,.449,156/180,.867,90,832,229,167,40,18,112,5
TOBE,224/493,.454,114/144,.792,53,615,290,160,42,17,85,4
Team,FGM/A*,FG%,FTM/A*,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,Score
Kuroko No Bueno,218/468,.466,84/112,.750,60,580,244,111,35,30,90,2
The Clinic,269/561,.480,168/201,.836,58,764,266,161,43,22,87,7
